angles,method,ssim_mean,ssim_std,psnr_mean,psnr_std,mse_mean,mse_std,re_mean,re_std
45,FBP,0.647010013780098,0.03854642298176498,29.179704234505284,1.4926164070502554,0.0012727182528320187,0.00036837028003639877,0.18255001356660044,0.026787960208057387
45,UNet,0.9557235321138248,0.0051584086909563925,39.26316085722104,0.929785606367623,0.0001210360168796232,2.333142964900732e-05,0.057134455280657574,0.008638452855961792
60,FBP,0.7283630582535303,0.035688910722568246,31.00853020554289,1.4739829702474536,0.0008339635567313818,0.00023624353211908523,0.14733439734040416,0.020885836882870882
60,UNet,0.956499396661006,0.005379036818323861,39.48181793959498,0.9181826556696397,0.00011502636494830575,2.180023777448586e-05,0.05549302792877232,0.007920582916514188
90,FBP,0.8397675683374434,0.026757669267885493,33.81918351876262,1.4750508484103075,0.00043643332371845646,0.0001221311063331158,0.10630638015653016,0.014927468461867053
90,UNet,0.9305280004072627,0.003889226800075068,37.19396132722907,0.9271099275631439,0.00019485629496106946,3.7040165722033e-05,0.07204853137243049,0.010345790294360533
180,FBP,0.9369303903083918,0.012385597365861891,36.58621856269487,1.6521047137208902,0.00023329741460259074,6.997481095802216e-05,0.07734188739358468,0.01123497422778711
180,UNet,0.9839491935315847,0.0029756825521518623,43.14734092035789,1.3681241972507339,5.065466383147582e-05,1.3747662422586487e-05,0.036313648845442206,0.005094942369425214
